"","black","born","district","committee_chair","congress","delegation_size","democrat","died","dwnom1","dwnom2","year_elected","female","freshman","icpsr","latino","les","majority_leader","majority","minority_leader","party_code","seniority","state","subcommittee_chair","name","vote_share","year","aapi"
"121",0,1910,4,0,93,8,1,1984,-0.342999994754791,0.885999977588654,1946,0,0,3034,0,1.92963242530823,0,1,0,100,14,"TN",1,"Evins, Joe",81,1973,0
"122",0,1917,15,0,93,15,1,1998,-0.400000005960464,0.229000002145767,1954,0,0,3078,0,0.731912970542908,0,1,0,100,10,"FL",1,"Fascell, Dante",57,1973,0
"123",1,NA,1,0,93,1,1,NA,NA,NA,1970,0,0,NA,0,1.27153551578522,0,0,0,NA,2,"DC",1,"Fauntroy, Walter",NA,1973,0
"124",0,1921,20,0,93,24,0,NA,0.24600000679493,-0.524999976158142,1960,0,0,10517,0,0.659426093101501,0,0,0,200,7,"IL",0,"Findley, Paul",69,1973,0
"125",0,1926,25,0,93,39,0,1996,0.0700000002980232,-0.423000007867813,1968,0,0,12013,0,0.307003498077393,0,0,0,200,3,"NY",0,"Fish, Hamilton",72,1973,0
"126",0,1903,11,0,93,25,1,1994,-0.377000004053116,0.34400001168251,1954,0,0,3224,0,2.08839344978333,0,1,0,100,10,"PA",1,"Flood, Daniel",68,1973,0
"127",0,1933,7,0,93,7,1,1984,-0.146999999880791,0.717999994754791,1968,0,0,12014,0,0.0465156808495522,0,1,0,100,3,"AL",0,"Flowers, Walter",85,1973,0
"128",0,1914,6,0,93,10,1,2007,0,1,1954,0,0,3242,0,0.629449367523193,0,1,0,100,10,"GA",0,"Flynt, John",100,1973,0
"129",0,1929,5,0,93,7,1,2013,-0.354000002145767,0.19200000166893,1964,0,0,10726,0,1.23708617687225,0,1,0,100,5,"WA",1,"Foley, Thomas",81,1973,0
"130",0,1927,15,0,93,19,1,2004,-0.515999972820282,0.0979999974370003,1964,0,0,10727,0,1.12536907196045,0,1,0,100,5,"MI",1,"Ford, William",66,1973,0
"131",0,1913,5,0,93,19,0,2006,0.28099998831749,-0.43299999833107,1948,0,0,3268,0,0.0826945379376411,0,0,1,200,13,"MI",0,"Ford, Gerald",61,1973,0
"132",0,1916,6,0,93,15,0,1984,0.32600000500679,-0.944999992847443,1970,0,0,12046,0,0.416755348443985,0,0,0,200,2,"NJ",0,"Forsythe, Edwin",63,1973,0
"133",0,1924,5,0,93,8,1,NA,-0.46900001168251,-0.465999990701675,1962,0,0,10585,0,4.01573467254639,0,1,0,100,6,"MN",0,"Fraser, Donald",66,1973,0
"134",0,1916,5,0,93,15,0,2011,0.172000005841255,-0.505999982357025,1952,0,0,3364,0,0.0568524971604347,0,0,0,200,11,"NJ",0,"Frelinghuysen, Peter",62,1973,0
"135",0,1928,3,0,93,8,0,2014,0.352999985218048,-0.814999997615814,1970,0,0,13015,0,0.295632988214493,0,0,0,200,2,"MN",0,"Frenzel, Bill",63,1973,0
"136",0,1934,9,0,93,15,0,NA,0.244000002741814,-0.0270000007003546,1968,0,0,12015,0,2.47573733329773,0,0,0,200,3,"FL",0,"Frey, Lou",100,1973,0
"137",0,1932,8,0,93,9,0,NA,0.296000003814697,-0.0520000010728836,1972,0,1,14014,0,1.19067573547363,0,0,0,200,1,"WI",0,"Froehlich, Harold",50,1973,0
"138",0,1927,5,0,93,8,1,NA,-0.331999987363815,0.312000006437302,1962,0,0,10586,0,1.78497982025146,0,1,0,100,6,"TN",0,"Fulton, Richard",63,1973,0
"139",0,1933,2,0,93,15,1,NA,-0.172999992966652,0.714999973773956,1962,0,0,10587,0,0.41554006934166,0,1,0,100,6,"FL",1,"Fuqua, Don",100,1973,0
"140",0,1926,20,0,93,25,1,2015,-0.277999997138977,0.398000001907349,1968,0,0,11067,0,0.223275259137154,0,1,0,100,3,"PA",0,"Gaydos, Joseph",62,1973,0
"141",0,1912,5,0,93,6,1,2003,-0.122000001370907,0.941999971866608,1964,0,0,10728,0,0.015505226328969,0,1,0,100,5,"SC",1,"Gettys, Tom",61,1973,0
"142",0,1919,3,0,93,6,1,2006,-0.317999988794327,0.0930000022053719,1958,0,0,3553,0,0.0506504066288471,0,1,0,100,8,"CT",0,"Giaimo, Robert",53,1973,0
"143",0,1920,7,0,93,15,1,2012,-0.232999995350838,0.170000001788139,1962,0,0,10588,0,0.590169429779053,0,1,0,100,6,"FL",0,"Gibbons, Sam",68,1973,0
"144",0,1922,26,0,93,39,0,NA,0.0430000014603138,-0.425000011920929,1972,0,1,14015,0,0.198466897010803,0,0,0,200,1,"NY",0,"Gilman, Benjamin",48,1973,0
"145",0,1934,1,0,93,10,1,2005,-0.216999992728233,0.848999977111816,1972,0,1,14016,0,0.604148268699646,0,1,0,100,1,"GA",0,"Ginn, Bo",100,1973,0
"146",0,1938,27,0,93,43,0,NA,0.354999989271164,-0.025000000372529,1969,0,0,12037,0,0.199500575661659,0,0,0,200,3,"CA",0,"Goldwater, Barry",43,1973,0
"147",0,1916,20,0,93,24,1,2000,-0.537999987602234,0.558000028133392,1961,0,0,10520,1,2.085533618927,0,1,0,100,7,"TX",0,"Gonzalez, Henry",97,1973,0
"148",0,1896,19,0,93,25,0,1982,0.455000013113022,0.0179999992251396,1960,0,0,10521,0,0.99324244260788,0,0,0,200,7,"PA",0,"Goodling, William",58,1973,0
